"","Region","Confirmed","Day_Confirmed","Date","Cumulative_tests","Day_test"
"644","MP",6,4,"20200401",6,4
"645","MS",1073,136,"20200401",4785,311
"646","MT",208,24,"20200401",4918,500
"647","NC",1584,86,"20200401",26243,3137
"648","ND",142,16,"20200401",4493,236
"649","NE",210,38,"20200401",3685,582
"650","NH",415,101,"20200401",6400,673
"651","NJ",22255,3559,"20200401",52642,6869
"652","NM",315,34,"20200401",13240,713
"653","NV",1279,166,"20200401",12798,1004
"654","NY",83712,7917,"20200401",220880,15694
"655","OH",2547,348,"20200401",29539,348
"656","OK",719,154,"20200401",1967,173
"657","OR",736,46,"20200401",13872,46
"658","PA",5805,962,"20200401",48232,5744
"659","PR",286,47,"20200401",1695,261
"660","RI",566,77,"20200401",4397,432
"661","SC",1293,210,"20200401",6326,627
"662","SD",129,21,"20200401",4032,315
"663","TN",2683,444,"20200401",32452,5092
"664","TX",3997,731,"20200401",47857,4865
"665","UT",1012,125,"20200401",21167,2654
"666","VA",1484,234,"20200401",15344,1943
"667","VI",30,0,"20200401",156,0
"668","VT",321,28,"20200401",4495,245
"669","WA",6593,563,"20200401",67159,563
"670","WI",1550,199,"20200401",20369,1643
"671","WV",191,29,"20200401",4575,432
"672","WY",130,21,"20200401",2348,240
"673","AK",119,5,"20200331",3713,59
"674","AL",981,122,"20200331",7279,726
"675","AR",523,50,"20200331",6482,747
"676","AS",0,0,"20200331",3,3
"677","AZ",1289,132,"20200331",19371,2612
"678","CA",7482,1035,"20200331",29254,2258
"679","CO",2627,0,"20200331",15364,0
"680","CT",3128,557,"20200331",16157,1557
"681","DC",495,94,"20200331",3757,674
"682","DE",319,55,"20200331",4015,1535
"683","FL",6338,865,"20200331",60623,6925
"684","GA",3929,1120,"20200331",16181,3457
"685","GU",69,11,"20200331",440,30
"686","HI",204,29,"20200331",8675,675
"687","IA",497,73,"20200331",7385,799
"688","ID",415,105,"20200331",5712,1006
"689","IL",5994,937,"20200331",35225,4779
"690","IN",2159,373,"20200331",13373,1715
"691","KS",428,60,"20200331",5424,502
"692","KY",480,41,"20200331",6810,792
"693","LA",5237,1212,"20200331",38967,4934
"694","MA",6620,868,"20200331",46935,4142
"695","MD",1660,247,"20200331",16528,1799
"696","ME",303,28,"20200331",6391,2722
"697","MI",11875,974,"20200331",35854,3770
"698","MN",629,53,"20200331",19780,958
"699","MO",1327,296,"20200331",15941,1706
"700","MP",2,0,"20200331",2,0
"701","MS",937,90,"20200331",4474,638
"702","MT",184,13,"20200331",4418,104
"703","NC",1498,191,"20200331",23106,2242
"704","ND",126,17,"20200331",4257,420
"705","NE",172,27,"20200331",3103,374
"706","NH",314,0,"20200331",5727,27
"707","NJ",18696,2060,"20200331",45773,3913
"708","NM",281,44,"20200331",12527,1348
"709","NV",1113,105,"20200331",11794,579
"710","NY",75795,9298,"20200331",205186,18718
"711","OH",2199,266,"20200331",29191,1916
"712","OK",565,84,"20200331",1794,106
"713","OR",690,84,"20200331",13826,943
"714","PA",4843,756,"20200331",42488,4624
"715","PR",239,65,"20200331",1434,329
"716","RI",489,87,"20200331",3965,376
"717","SC",1083,158,"20200331",5699,614
"718","SD",108,7,"20200331",3717,138
"719","TN",2239,405,"20200331",27360,4056
"720","TX",3266,389,"20200331",42992,7112
"721","UT",887,81,"20200331",18513,2510
"722","VA",1250,230,"20200331",13401,1363
"723","VI",30,0,"20200331",156,0
"724","VT",293,37,"20200331",4250,320
"725","WA",6030,464,"20200331",66596,464
"726","WI",1351,130,"20200331",18726,1649
"727","WV",162,36,"20200331",4143,1033
"728","WY",109,15,"20200331",2108,174
"729","AK",114,12,"20200330",3654,320
"730","AL",859,53,"20200330",6553,1563
"731","AR",473,47,"20200330",5735,2282
"732","AS",0,0,"20200330",0,0
"733","AZ",1157,238,"20200330",16759,2887
"734","CA",6447,739,"20200330",26996,739
"735","CO",2627,566,"20200330",15364,2088
"736","CT",2571,578,"20200330",14600,2700
"737","DC",401,59,"20200330",3083,272
"738","DE",264,32,"20200330",2480,2212
"739","FL",5473,1227,"20200330",53698,10382
"740","GA",2809,158,"20200330",12724,160
"741","GU",58,2,"20200330",410,20
"742","HI",175,24,"20200330",8000,1000
"743","IA",424,88,"20200330",6586,1237
"744","ID",310,49,"20200330",4706,424
"745","IL",5057,461,"20200330",30446,2684
"746","IN",1786,272,"20200330",11658,1828
"747","KS",368,49,"20200330",4922,409
"748","KY",439,45,"20200330",6018,477
"749","LA",4025,485,"20200330",34033,6162
"750","MA",5752,797,"20200330",42793,3727
"751","MD",1413,174,"20200330",14729,1136
"752","ME",275,22,"20200330",3669,22
"753","MI",10901,891,"20200330",32084,6398
"754","MN",576,73,"20200330",18822,1165
"755","MO",1031,193,"20200330",14235,1850
"756","MP",2,0,"20200330",2,0
"757","MS",847,89,"20200330",3836,518
"758","MT",171,17,"20200330",4314,17
"759","NC",1307,267,"20200330",20864,1919
"760","ND",109,11,"20200330",3837,384
"761","NE",145,37,"20200330",2729,653
"762","NH",314,100,"20200330",5700,962
"763","NJ",16636,3250,"20200330",41860,6258
"764","NM",237,0,"20200330",11179,173
"765","NV",1008,270,"20200330",11215,2065
"766","NY",66497,6984,"20200330",186468,14108
"767","OH",1933,280,"20200330",27275,6610
"768","OK",481,52,"20200330",1688,54
"769","OR",606,58,"20200330",12883,1457
"770","PA",4087,693,"20200330",37864,4409
"771","PR",174,47,"20200330",1105,137
"772","RI",402,108,"20200330",3589,455
"773","SC",925,151,"20200330",5085,1296
"774","SD",101,11,"20200330",3579,362
"775","TN",1834,297,"20200330",23304,2730
"776","TX",2877,325,"20200330",35880,10120
"777","UT",806,87,"20200330",16003,2010
"778","VA",1020,130,"20200330",12038,1429
"779","VI",30,7,"20200330",156,10
"780","VT",256,21,"20200330",3930,229
"781","WA",5566,464,"20200330",66132,6134
"782","WI",1221,109,"20200330",17077,585
"783","WV",126,13,"20200330",3110,292
"784","WY",94,8,"20200330",1934,294
"785","AK",102,17,"20200329",3334,413
"786","AL",806,110,"20200329",4990,110
"787","AR",426,22,"20200329",3453,111
"788","AS",0,0,"20200329",0,0
"789","AZ",919,46,"20200329",13872,5544
"790","CA",5708,1065,"20200329",26257,1065
"791","CO",2061,327,"20200329",13276,1600
"792","CT",1993,702,"20200329",11900,3500
"793","DC",342,38,"20200329",2811,296
"794","DE",232,18,"20200329",268,18
"795","FL",4246,483,"20200329",43316,4187
"796","GA",2651,285,"20200329",12564,1513
"797","GU",56,1,"20200329",390,36
"798","HI",151,31,"20200329",7000,2523
"799","IA",336,38,"20200329",5349,676
"800","ID",261,31,"20200329",4282,710
"801","IL",4596,1105,"20200329",27762,2271
"802","IN",1514,282,"20200329",9830,1423
"803","KS",319,58,"20200329",4513,581
"804","KY",394,92,"20200329",5541,418
"805","LA",3540,225,"20200329",27871,2710
"806","MA",4955,698,"20200329",39066,4017
"807","MD",1239,247,"20200329",13593,1085
"808","ME",253,42,"20200329",3647,42
"809","MI",10010,723,"20200329",25686,2216
"810","MN",503,62,"20200329",17657,1528
"811","MO",838,0,"20200329",12385,1465
"812","MP",2,0,"20200329",2,0
"813","MS",758,95,"20200329",3318,95
"814","MT",154,25,"20200329",4297,912
"815","NC",1040,105,"20200329",18945,1418
"816","ND",98,15,"20200329",3453,561
"817","NE",108,12,"20200329",2076,76
"818","NH",214,27,"20200329",4738,895
"819","NJ",13386,2262,"20200329",35602,5092
"820","NM",237,46,"20200329",11006,1619
"821","NV",738,117,"20200329",9150,628
"822","NY",59513,7195,"20200329",172360,16426
"823","OH",1653,247,"20200329",20665,247
"824","OK",429,52,"20200329",1634,77
"825","OR",548,69,"20200329",11426,1254
"826","PA",3394,643,"20200329",33455,5450
"827","PR",127,27,"20200329",968,129
"828","RI",294,55,"20200329",3134,354
"829","SC",774,235,"20200329",3789,842
"830","SD",90,22,"20200329",3217,557
"831","TN",1537,164,"20200329",20574,2236
"832","TX",2552,500,"20200329",25760,500
"833","UT",719,117,"20200329",13993,2681
"834","VA",890,151,"20200329",10609,1443
"835","VI",23,1,"20200329",146,18
"836","VT",235,24,"20200329",3701,1327
"837","WA",5102,395,"20200329",59998,6276
"838","WI",1112,123,"20200329",17662,1441
"839","WV",113,17,"20200329",2818,391
"840","WY",86,4,"20200329",1640,83
"841","AK",85,16,"20200328",2921,533
"842","AL",696,109,"20200328",4880,109
"843","AR",404,23,"20200328",3342,1416
"844","AS",0,0,"20200328",0,0
"845","AZ",873,137,"20200328",8328,137
"846","CA",4643,764,"20200328",25192,3933
"847","CO",1734,304,"20200328",11676,1554
"848","CT",1291,0,"20200328",8400,0
"849","DC",304,37,"20200328",2515,351
"850","DE",214,51,"20200328",250,51
"851","FL",3763,998,"20200328",39129,8178
"852","GA",2366,365,"20200328",11051,1186
"853","GU",55,4,"20200328",354,4
"854","HI",120,14,"20200328",4477,14
"855","IA",298,63,"20200328",4673,698
"856","ID",230,41,"20200328",3572,715
"857","IL",3491,465,"20200328",25491,3949
"858","IN",1232,251,"20200328",8407,1471
"859","KS",261,59,"20200328",3932,501
"860","KY",302,54,"20200328",5123,1107
"861","LA",3315,569,"20200328",25161,3802
"862","MA",4257,1017,"20200328",35049,5678
"863","MD",992,218,"20200328",12508,11640
"864","ME",211,43,"20200328",3605,43
"865","MI",9287,628,"20200328",23470,2172
"866","MN",441,43,"20200328",16129,2126
"867","MO",838,169,"20200328",10920,9882
"868","MP",2,2,"20200328",2,2
"869","MS",663,84,"20200328",3223,84
"870","MT",129,21,"20200328",3385,687
"871","NC",935,172,"20200328",17527,2391
"872","ND",83,18,"20200328",2892,400
"873","NE",96,11,"20200328",2000,154
"874","NH",187,29,"20200328",3843,290
"875","NJ",11124,2299,"20200328",30510,5138
"876","NM",191,55,"20200328",9387,874
"877","NV",621,86,"20200328",8522,1826
"878","NY",52318,7683,"20200328",155934,10181
"879","OH",1406,269,"20200328",20418,269
"880","OK",377,55,"20200328",1557,151
"881","OR",479,65,"20200328",10172,1248
"882","PA",2751,533,"20200328",28005,4771
"883","PR",100,21,"20200328",839,241
"884","RI",239,36,"20200328",2780,271
"885","SC",539,83,"20200328",2947,184
"886","SD",68,10,"20200328",2660,215
"887","TN",1373,170,"20200328",18338,2247
"888","TX",2052,321,"20200328",25260,1594
"889","UT",602,122,"20200328",11312,2068
"890","VA",739,135,"20200328",9166,1829
"891","VI",22,3,"20200328",128,54
"892","VT",211,27,"20200328",2374,113
"893","WA",4707,469,"20200328",53722,6311
"894","WI",989,147,"20200328",16221,2239
"895","WV",96,20,"20200328",2427,572
"896","WY",82,12,"20200328",1557,276
"897","AK",69,10,"20200327",2388,528
"898","AL",587,81,"20200327",4771,672
"899","AR",381,46,"20200327",1926,87
"900","AS",0,0,"20200327",0,0
"901","AZ",736,159,"20200327",8191,7267
"902","CA",3879,873,"20200327",21259,873
"903","CO",1430,344,"20200327",10122,2058
"904","CT",1291,279,"20200327",8400,1763
"905","DC",267,36,"20200327",2164,307
"906","DE",163,33,"20200327",199,33
"907","FL",2765,410,"20200327",30951,4855
"908","GA",2001,476,"20200327",9865,939
"909","GU",51,6,"20200327",350,42
"910","HI",106,11,"20200327",4463,11
"911","IA",235,56,"20200327",3975,1218
"912","ID",189,66,"20200327",2857,669
"913","IL",3026,488,"20200327",21542,4911
"914","IN",981,336,"20200327",6936,2285
"915","KS",202,34,"20200327",3431,394
"916","KY",248,50,"20200327",4016,716
"917","LA",2746,441,"20200327",21359,3330
"918","MA",3240,823,"20200327",29371,5750
"919","MD",774,194,"20200327",868,194
"920","ME",168,13,"20200327",3562,13
"921","MI",8659,892,"20200327",21298,3226
"922","MN",398,52,"20200327",14003,1053
"923","MO",669,167,"20200327",1038,167
"924","MP",0,0,"20200327",0,0
"925","MS",579,94,"20200327",3139,363
"926","MT",108,37,"20200327",2698,499
"927","NC",763,127,"20200327",15136,2226
"928","ND",65,13,"20200327",2492,401
"929","NE",85,12,"20200327",1846,189
"930","NH",158,21,"20200327",3553,415
"931","NJ",8825,1949,"20200327",25372,4835
"932","NM",136,24,"20200327",8513,720
"933","NV",535,115,"20200327",6696,1579
"934","NY",44635,7377,"20200327",145753,23649
"935","OH",1137,270,"20200327",20149,2833
"936","OK",322,74,"20200327",1406,200
"937","OR",414,87,"20200327",8924,1644
"938","PA",2218,531,"20200327",23234,5106
"939","PR",79,15,"20200327",598,157
"940","RI",203,38,"20200327",2509,1082
"941","SC",456,0,"20200327",2763,0
"942","SD",58,12,"20200327",2445,426
"943","TN",1203,246,"20200327",16091,1182
"944","TX",1731,335,"20200327",23666,2242
"945","UT",480,78,"20200327",9244,1534
"946","VA",604,144,"20200327",7337,1148
"947","VI",19,2,"20200327",74,2
"948","VT",184,26,"20200327",2261,253
"949","WA",4238,493,"20200327",47411,11954
"950","WI",842,135,"20200327",13982,1692
"951","WV",76,25,"20200327",1855,773
"952","WY",70,17,"20200327",1281,176
"953","AK",59,17,"20200326",1860,169
"954","AL",506,223,"20200326",4099,1287
"955","AR",335,55,"20200326",1839,122
"956","AS",0,0,"20200326",0,0
"957","AZ",577,127,"20200326",924,151
"958","CA",3006,651,"20200326",20386,2110
"959","CO",1086,174,"20200326",8064,363
"960","CT",1012,137,"20200326",6637,739
"961","DC",231,48,"20200326",1857,251
"962","DE",130,15,"20200326",166,15
"963","FL",2355,673,"20200326",26096,9040
"964","GA",1525,278,"20200326",8926,2747
"965","GU",45,8,"20200326",308,38
"966","HI",95,5,"20200326",4452,5
"967","IA",179,34,"20200326",2757,34
"968","ID",123,50,"20200326",2188,228
"969","IL",2538,673,"20200326",16631,2422
"970","IN",645,168,"20200326",4651,1295
"971","KS",168,42,"20200326",3037,551
"972","KY",198,41,"20200326",3300,278
"973","LA",2305,510,"20200326",18029,6578
"974","MA",2417,579,"20200326",23621,3827
"975","MD",580,157,"20200326",674,157
"976","ME",155,6,"20200326",3549,223
"977","MI",7767,707,"20200326",18072,3475
"978","MN",346,59,"20200326",12950,1475
"979","MO",502,146,"20200326",871,146
"980","MP",0,0,"20200326",0,0
"981","MS",485,108,"20200326",2776,833
"982","MT",71,18,"20200326",2199,198
"983","NC",636,132,"20200326",12910,2421
"984","ND",52,13,"20200326",2091,318
"985","NE",73,12,"20200326",1657,292
"986","NH",137,29,"20200326",3138,674
"987","NJ",6876,2474,"20200326",20537,5683
"988","NM",112,12,"20200326",7793,951
"989","NV",420,99,"20200326",5117,545
"990","NY",37258,6447,"20200326",122104,18625
"991","OH",867,163,"20200326",17316,2552
"992","OK",248,84,"20200326",1206,237
"993","OR",327,118,"20200326",7280,2721
"994","PA",1687,560,"20200326",18128,5808
"995","PR",64,13,"20200326",441,73
"996","RI",165,33,"20200326",1427,33
"997","SC",456,32,"20200326",2763,36
"998","SD",46,5,"20200326",2019,1159
"999","TN",957,173,"20200326",14909,3113
"1000","TX",1396,422,"20200326",21424,7930
"1001","UT",402,56,"20200326",7710,873
"1002","VA",460,69,"20200326",6189,819
"1003","VI",17,0,"20200326",72,0
"1004","VT",158,35,"20200326",2008,296
"1005","WA",3745,470,"20200326",35457,470
"1006","WI",707,122,"20200326",12290,1616
"1007","WV",51,12,"20200326",1082,284
"1008","WY",53,9,"20200326",1105,107
"1009","AK",42,6,"20200325",1691,669
"1010","AL",283,68,"20200325",2812,491
"1011","AR",280,62,"20200325",1717,552
"1012","AS",0,0,"20200325",0,0
"1013","AZ",450,93,"20200325",773,103
"1014","CA",2355,253,"20200325",18276,2722
"1015","CO",912,192,"20200325",7701,1477
"1016","CT",875,257,"20200325",5898,598
"1017","DC",183,46,"20200325",1606,274
"1018","DE",115,24,"20200325",151,24
"1019","FL",1682,270,"20200325",17056,2517
"1020","GA",1247,221,"20200325",6179,695
"1021","GU",37,5,"20200325",270,37
"1022","HI",90,13,"20200325",4447,781
"1023","IA",145,21,"20200325",2723,284
"1024","ID",73,23,"20200325",1960,23
"1025","IL",1865,330,"20200325",14209,2740
"1026","IN",477,112,"20200325",3356,425
"1027","KS",126,28,"20200325",2486,302
"1028","KY",157,33,"20200325",3022,1136
"1029","LA",1795,407,"20200325",11451,2848
"1030","MA",1838,679,"20200325",19794,6045
"1031","MD",423,74,"20200325",517,74
"1032","ME",149,24,"20200325",3326,187
"1033","MI",7060,5269,"20200325",14597,7010
"1034","MN",287,25,"20200325",11475,5663
"1035","MO",356,173,"20200325",725,173
"1036","MP",0,0,"20200325",0,0
"1037","MS",377,57,"20200325",1943,71
"1038","MT",53,7,"20200325",2001,312
"1039","NC",504,106,"20200325",10489,1950
"1040","ND",39,5,"20200325",1773,285
"1041","NE",61,9,"20200325",1365,338
"1042","NH",108,7,"20200325",2464,916
"1043","NJ",4402,727,"20200325",14854,2854
"1044","NM",100,17,"20200325",6842,869
"1045","NV",321,43,"20200325",4572,340
"1046","NY",30811,5146,"20200325",103479,12209
"1047","OH",704,140,"20200325",14764,14060
"1048","OK",164,58,"20200325",969,128
"1049","OR",209,0,"20200325",4559,0
"1050","PA",1127,276,"20200325",12320,2826
"1051","PR",51,12,"20200325",368,61
"1052","RI",132,8,"20200325",1394,70
"1053","SC",424,126,"20200325",2727,417
"1054","SD",41,11,"20200325",860,40
"1055","TN",784,117,"20200325",11796,612
"1056","TX",974,564,"20200325",13494,2327
"1057","UT",346,47,"20200325",6837,1014
"1058","VA",391,101,"20200325",5370,900
"1059","VI",17,0,"20200325",72,55
"1060","VT",123,28,"20200325",1712,177
"1061","WA",3275,452,"20200325",34987,452
"1062","WI",585,128,"20200325",10674,1980
"1063","WV",39,19,"20200325",798,168
"1064","WY",44,15,"20200325",998,259
"1065","AK",36,14,"20200324",1022,54
"1066","AL",215,48,"20200324",2321,489
"1067","AR",218,44,"20200324",1165,85
"1068","AS",0,0,"20200324",0,0
"1069","AZ",357,92,"20200324",670,96
"1070","CA",2102,369,"20200324",15554,1254
"1071","CO",720,129,"20200324",6224,788
"1072","CT",618,203,"20200324",5300,800
"1073","DC",137,21,"20200324",1332,103
"1074","DE",91,23,"20200324",127,23
"1075","FL",1412,241,"20200324",14539,2305
"1076","GA",1026,254,"20200324",5484,415
"1077","GU",32,3,"20200324",233,43
"1078","HI",77,21,"20200324",3666,655
"1079","IA",124,19,"20200324",2439,291
"1080","ID",50,3,"20200324",1937,581
"1081","IL",1535,262,"20200324",11469,1613
"1082","IN",365,106,"20200324",2931,971
"1083","KS",98,16,"20200324",2184,1685
"1084","KY",124,20,"20200324",1886,20
"1085","LA",1388,216,"20200324",8603,2655
"1086","MA",1159,382,"20200324",13749,4827
"1087","MD",349,61,"20200324",443,61
"1088","ME",125,18,"20200324",3139,241
"1089","MI",1791,463,"20200324",7587,1562
"1090","MN",262,27,"20200324",5812,1066
"1091","MO",183,0,"20200324",552,0
"1092","MP",0,0,"20200324",0,0
"1093","MS",320,71,"20200324",1872,480
"1094","MT",46,12,"20200324",1689,509
"1095","NC",398,101,"20200324",8539,101
"1096","ND",34,4,"20200324",1488,105
"1097","NE",52,2,"20200324",1027,621
"1098","NH",101,23,"20200324",1548,96
"1099","NJ",3675,831,"20200324",12000,8797
"1100","NM",83,18,"20200324",5973,587
"1101","NV",278,33,"20200324",4232,497
"1102","NY",25665,4790,"20200324",91270,12981
"1103","OH",564,122,"20200324",704,122
"1104","OK",106,25,"20200324",841,66
"1105","OR",209,18,"20200324",4559,719
"1106","PA",851,207,"20200324",9494,2255
"1107","PR",39,8,"20200324",307,87
"1108","RI",124,18,"20200324",1324,75
"1109","SC",298,0,"20200324",2310,546
"1110","SD",30,2,"20200324",820,30
"1111","TN",667,52,"20200324",11184,7297
"1112","TX",410,58,"20200324",11167,1112
"1113","UT",299,42,"20200324",5823,776
"1114","VA",290,36,"20200324",4470,773
"1115","VI",17,0,"20200324",17,0
"1116","VT",95,20,"20200324",1535,354
"1117","WA",2823,373,"20200324",34535,3206
"1118","WI",457,41,"20200324",8694,1228
"1119","WV",20,4,"20200324",630,170
"1120","WY",29,3,"20200324",739,121
"1121","AK",22,0,"20200323",968,0
"1122","AL",167,29,"20200323",1832,230
"1123","AR",174,9,"20200323",1080,204
"1124","AS",0,0,"20200323",0,0
"1125","AZ",265,113,"20200323",574,140
"1126","CA",1733,197,"20200323",14300,1460
"1127","CO",591,116,"20200323",5436,886
"1128","CT",415,192,"20200323",4500,1400
"1129","DC",116,18,"20200323",1229,174
"1130","DE",68,12,"20200323",104,12
"1131","FL",1171,341,"20200323",12234,3414
"1132","GA",772,172,"20200323",5069,1049
"1133","GU",29,2,"20200323",190,37
"1134","HI",56,8,"20200323",3011,2700
"1135","IA",105,15,"20200323",2148,843
"1136","ID",47,5,"20200323",1356,139
"1137","IL",1273,224,"20200323",9856,1536
"1138","IN",259,58,"20200323",1960,466
"1139","KS",82,18,"20200323",499,18
"1140","KY",104,5,"20200323",1866,295
"1141","LA",1172,335,"20200323",5948,2450
"1142","MA",777,131,"20200323",8922,2817
"1143","MD",288,44,"20200323",382,44
"1144","ME",107,18,"20200323",2898,545
"1145","MI",1328,293,"20200323",6025,1278
"1146","MN",235,66,"20200323",4746,66
"1147","MO",183,93,"20200323",552,93
"1148","MP",0,0,"20200323",0,0
"1149","MS",249,42,"20200323",1392,71
"1150","MT",34,3,"20200323",1180,3
"1151","NC",297,42,"20200323",8438,2000
"1152","ND",30,2,"20200323",1383,95
"1153","NE",50,2,"20200323",406,2
"1154","NH",78,13,"20200323",1452,199
"1155","NJ",2844,930,"20200323",3203,962
"1156","NM",65,8,"20200323",5386,607
"1157","NV",245,55,"20200323",3735,1097
"1158","NY",20875,5707,"20200323",78289,16888
"1159","OH",442,91,"20200323",582,91
"1160","OK",81,14,"20200323",775,39
"1161","OR",191,30,"20200323",3840,815
"1162","PA",644,165,"20200323",7239,1796
"1163","PR",31,8,"20200323",220,14
"1164","RI",106,23,"20200323",1249,234
"1165","SC",298,103,"20200323",1764,103
"1166","SD",28,7,"20200323",790,29
"1167","TN",615,110,"20200323",3887,110
"1168","TX",352,18,"20200323",10055,1299
"1169","UT",257,76,"20200323",5047,1358
"1170","VA",254,35,"20200323",3697,360
"1171","VI",17,11,"20200323",17,11
"1172","VT",75,23,"20200323",1181,23
"1173","WA",2450,208,"20200323",31329,3759
"1174","WI",416,31,"20200323",7466,851
"1175","WV",16,4,"20200323",460,63
"1176","WY",26,2,"20200323",618,156
"1177","AK",22,8,"20200322",968,196
"1178","AL",138,14,"20200322",1602,1450
"1179","AR",165,47,"20200322",876,191
"1180","AS",0,0,"20200322",0,0
"1181","AZ",152,48,"20200322",434,90
"1182","CA",1536,257,"20200322",12840,312
"1183","CO",475,112,"20200322",4550,870
"1184","CT",223,29,"20200322",3100,800
"1185","DC",98,21,"20200322",1055,472
"1186","DE",56,11,"20200322",92,11
"1187","FL",830,172,"20200322",8820,1583
"1188","GA",600,93,"20200322",4020,956
"1189","GU",27,12,"20200322",153,30
"1190","HI",48,11,"20200322",311,150
"1191","IA",90,22,"20200322",1305,188
"1192","ID",42,11,"20200322",1217,306
"1193","IL",1049,296,"20200322",8320,2079
"1194","IN",201,75,"20200322",1494,661
"1195","KS",64,9,"20200322",481,9
"1196","KY",99,45,"20200322",1571,803
"1197","LA",837,252,"20200322",3498,733
"1198","MA",646,121,"20200322",6105,828
"1199","MD",244,54,"20200322",338,54
"1200","ME",89,16,"20200322",2353,16
"1201","MI",1035,248,"20200322",4747,264
"1202","MN",169,31,"20200322",4680,590
"1203","MO",90,17,"20200322",459,17
"1204","MP",0,0,"20200322",0,0
"1205","MS",207,67,"20200322",1321,486
"1206","MT",31,11,"20200322",1177,11
"1207","NC",255,71,"20200322",6438,1162
"1208","ND",28,0,"20200322",1288,119
"1209","NE",48,10,"20200322",404,10
"1210","NH",65,10,"20200322",1253,225
"1211","NJ",1914,587,"20200322",2241,620
"1212","NM",57,0,"20200322",4779,951
"1213","NV",190,66,"20200322",2638,130
"1214","NY",15168,4812,"20200322",61401,15964
"1215","OH",351,104,"20200322",491,104
"1216","OK",67,14,"20200322",736,123
"1217","OR",161,47,"20200322",3025,908
"1218","PA",479,108,"20200322",5443,1306
"1219","PR",23,2,"20200322",206,42
"1220","RI",83,17,"20200322",1015,87
"1221","SC",195,43,"20200322",1661,254
"1222","SD",21,7,"20200322",761,56
"1223","TN",505,134,"20200322",3777,134
"1224","TX",334,30,"20200322",8756,2234
"1225","UT",181,45,"20200322",3689,1129
"1226","VA",219,67,"20200322",3337,547
"1227","VI",6,0,"20200322",6,0
"1228","VT",52,23,"20200322",1158,350
"1229","WA",2242,236,"20200322",27570,3845
"1230","WI",385,104,"20200322",6615,1706
"1231","WV",12,1,"20200322",397,56
"1232","WY",24,1,"20200322",462,1
"1233","AK",14,2,"20200321",772,74
"1234","AL",124,43,"20200321",152,43
"1235","AR",118,22,"20200321",685,238
"1236","AS",0,0,"20200321",0,0
"1237","AZ",104,39,"20200321",344,68
"1238","CA",1279,216,"20200321",12528,1041
"1239","CO",363,86,"20200321",3680,728
"1240","CT",194,0,"20200321",2300,1502
"1241","DC",77,6,"20200321",583,11
"1242","DE",45,7,"20200321",81,7
"1243","FL",658,138,"20200321",7237,4847
"1244","GA",507,87,"20200321",3064,678
"1245","GU",15,1,"20200321",123,23
"1246","HI",37,11,"20200321",161,11
"1247","IA",68,23,"20200321",1117,430
"1248","ID",31,8,"20200321",911,298
"1249","IL",753,168,"20200321",6241,1960
"1250","IN",126,47,"20200321",833,279
"1251","KS",55,11,"20200321",472,11
"1252","KY",54,7,"20200321",768,129
"1253","LA",585,106,"20200321",2765,1718
"1254","MA",525,112,"20200321",5277,1186
"1255","MD",190,41,"20200321",284,41
"1256","ME",73,16,"20200321",2337,16
"1257","MI",787,238,"20200321",4483,1188
"1258","MN",138,23,"20200321",4090,234
"1259","MO",73,26,"20200321",442,26
"1260","MP",0,0,"20200321",0,0
"1261","MS",140,60,"20200321",835,60
"1262","MT",20,4,"20200321",1166,219
"1263","NC",184,47,"20200321",5276,2043
"1264","ND",28,8,"20200321",1169,349
"1265","NE",38,6,"20200321",394,122
"1266","NH",55,11,"20200321",1028,239
"1267","NJ",1327,437,"20200321",1621,467
"1268","NM",57,14,"20200321",3828,14
"1269","NV",124,15,"20200321",2508,407
"1270","NY",10356,3254,"20200321",45437,13010
"1271","OH",247,78,"20200321",387,78
"1272","OK",53,4,"20200321",613,26
"1273","OR",114,0,"20200321",2117,0
"1274","PA",371,103,"20200321",4137,1295
"1275","PR",21,7,"20200321",164,36
"1276","RI",66,12,"20200321",928,74
"1277","SC",152,71,"20200321",1407,493
"1278","SD",14,0,"20200321",705,28
"1279","TN",371,143,"20200321",3643,2852
"1280","TX",304,110,"20200321",6522,1245
"1281","UT",136,24,"20200321",2560,413
"1282","VA",152,38,"20200321",2790,465
"1283","VI",6,3,"20200321",6,3
"1284","VT",29,0,"20200321",808,0
"1285","WA",2006,233,"20200321",23725,2616
"1286","WI",281,75,"20200321",4909,1248
"1287","WV",11,4,"20200321",341,115
"1288","WY",23,4,"20200321",461,111
"1289","AK",12,6,"20200320",698,260
"1290","AL",81,13,"20200320",109,13
"1291","AR",96,50,"20200320",447,91
"1292","AS",0,0,"20200320",0,0
"1293","AZ",65,21,"20200320",276,57
"1294","CA",1063,139,"20200320",11487,1776
"1295","CO",277,61,"20200320",2952,624
"1296","CT",194,98,"20200320",798,98
"1297","DC",71,32,"20200320",572,380
"1298","DE",38,8,"20200320",74,8
"1299","FL",520,130,"20200320",2390,467
"1300","GA",420,133,"20200320",2386,555
"1301","GU",14,2,"20200320",100,19
"1302","HI",26,10,"20200320",150,41
"1303","IA",45,7,"20200320",687,566
"1304","ID",23,12,"20200320",613,143
"1305","IL",585,163,"20200320",4281,1134
"1306","IN",79,23,"20200320",554,174
"1307","KS",44,10,"20200320",461,10
"1308","KY",47,12,"20200320",639,150
"1309","LA",479,132,"20200320",1047,242
