"","Region","Confirmed","Day_Confirmed","Date","Cumulative_tests","Day_test"
"149","NV",2584,128,"20200410",22749,978
"150","NY",170512,10575,"20200410",417885,26336
"151","OH",5836,324,"20200410",58531,2546
"152","OK",1794,110,"20200410",22164,1885
"153","OR",1321,0,"20200410",25627,0
"154","PA",19979,1751,"20200410",113019,7417
"155","PR",725,42,"20200410",5846,460
"156","RI",2015,288,"20200410",14296,1887
"157","SC",3065,273,"20200410",28183,816
"158","SD",536,89,"20200410",7647,500
"159","TN",4862,228,"20200410",62799,2950
"160","TX",11671,1441,"20200410",115718,9584
"161","UT",2102,126,"20200410",40762,2389
"162","VA",4509,467,"20200410",35459,2433
"163","VI",50,4,"20200410",323,26
"164","VT",679,51,"20200410",8232,51
"165","WA",10224,455,"20200410",93615,455
"166","WI",3068,183,"20200410",36293,1984
"167","WV",554,31,"20200410",14555,692
"168","WY",320,90,"20200410",5056,906
"169","AK",235,9,"20200409",7223,155
"170","AL",2769,400,"20200409",20827,1705
"171","AR",1119,119,"20200409",14951,421
"172","AS",0,0,"20200409",3,0
"173","AZ",3018,292,"20200409",37178,2614
"174","CA",18309,1352,"20200409",163500,19236
"175","CO",5655,226,"20200409",29199,1105
"176","CT",9784,2003,"20200409",33502,4466
"177","DC",1523,83,"20200409",8724,441
"178","DE",1207,279,"20200409",9890,1334
"179","FL",16364,909,"20200409",152549,9415
"180","GA",10566,665,"20200409",41085,2298
"181","GU",128,3,"20200409",721,34
"182","HI",435,25,"20200409",15751,602
"183","IA",1270,125,"20200409",14973,1007
"184","ID",1232,22,"20200409",12531,633
"185","IL",16422,1344,"20200409",80857,5791
"186","IN",6351,408,"20200409",32133,1264
"187","KS",1106,206,"20200409",10775,1261
"188","KY",1346,197,"20200409",21801,197
"189","LA",18283,1253,"20200409",86919,5513
"190","MA",18941,2151,"20200409",94958,7447
"191","MD",6185,656,"20200409",41529,3067
"192","ME",560,23,"20200409",6648,23
"193","MI",21504,915,"20200409",67054,915
"194","MN",1242,88,"20200409",32294,1541
"195","MO",3539,212,"20200409",38494,4384
"196","MP",11,0,"20200409",38,0
"197","MS",2260,257,"20200409",20892,257
"198","MT",354,22,"20200409",7860,462
"199","NC",3651,225,"20200409",47809,4822
"200","ND",269,18,"20200409",8990,438
"201","NE",567,48,"20200409",8683,722
"202","NH",788,0,"20200409",9551,374
"203","NJ",51027,3590,"20200409",107192,6776
"204","NM",865,71,"20200409",23807,1562
"205","NV",2456,138,"20200409",21771,1205
"206","NY",159937,10621,"20200409",391549,26396
"207","OH",5512,364,"20200409",55985,2644
"208","OK",1684,160,"20200409",20279,6934
"209","OR",1321,82,"20200409",25627,1063
"210","PA",18228,1989,"20200409",105602,7064
"211","PR",683,63,"20200409",5386,500
"212","RI",1727,277,"20200409",12409,277
"213","SC",2792,240,"20200409",27367,2733
"214","SD",447,54,"20200409",7147,399
"215","TN",4634,272,"20200409",59849,3231
"216","TX",10230,877,"20200409",106134,9876
"217","UT",1976,130,"20200409",38373,2257
"218","VA",4042,397,"20200409",33026,2381
"219","VI",46,1,"20200409",297,10
"220","VT",628,23,"20200409",8181,432
"221","WA",9769,263,"20200409",93160,263
"222","WI",2885,129,"20200409",34309,1438
"223","WV",523,61,"20200409",13863,1318
"224","WY",230,9,"20200409",4150,86
"225","AK",226,13,"20200408",7068,155
"226","AL",2369,250,"20200408",19122,4206
"227","AR",1000,54,"20200408",14530,892
"228","AS",0,0,"20200408",3,0
"229","AZ",2726,151,"20200408",34564,1189
"230","CA",16957,1092,"20200408",144264,13035
"231","CO",5429,257,"20200408",28094,1219
"232","CT",7781,0,"20200408",29036,0
"233","DC",1440,229,"20200408",8283,460
"234","DE",928,0,"20200408",8556,0
"235","FL",15455,708,"20200408",143134,4972
"236","GA",9901,1083,"20200408",38787,5074
"237","GU",125,4,"20200408",687,37
"238","HI",410,23,"20200408",15149,1607
"239","IA",1145,97,"20200408",13966,1248
"240","ID",1210,40,"20200408",11898,652
"241","IL",15078,1529,"20200408",75066,6334
"242","IN",5943,436,"20200408",30869,2105
"243","KS",900,0,"20200408",9514,0
"244","KY",1149,141,"20200408",21604,1649
"245","LA",17030,746,"20200408",81406,6751
"246","MA",16790,1588,"20200408",87511,6167
"247","MD",5529,1158,"20200408",38462,6835
"248","ME",537,18,"20200408",6625,18
"249","MI",20589,766,"20200408",66139,766
"250","MN",1154,85,"20200408",30753,1493
"251","MO",3327,290,"20200408",34110,2141
"252","MP",11,3,"20200408",38,15
"253","MS",2003,88,"20200408",20635,88
"254","MT",332,13,"20200408",7398,413
"255","NC",3426,205,"20200408",42987,1905
"256","ND",251,14,"20200408",8552,849
"257","NE",519,72,"20200408",7961,703
"258","NH",788,73,"20200408",9177,443
"259","NJ",47437,3021,"20200408",100416,5442
"260","NM",794,108,"20200408",22245,420
"261","NV",2318,231,"20200408",20566,1927
"262","NY",149316,10453,"20200408",365153,25095
"263","OH",5148,366,"20200408",53341,2503
"264","OK",1524,52,"20200408",13345,52
"265","OR",1239,58,"20200408",24564,1557
"266","PA",16239,1680,"20200408",98538,7260
"267","PR",620,47,"20200408",4886,347
"268","RI",1450,220,"20200408",12132,1825
"269","SC",2552,135,"20200408",24634,954
"270","SD",393,73,"20200408",6748,480
"271","TN",4362,224,"20200408",56618,3744
"272","TX",9353,1091,"20200408",96258,7609
"273","UT",1846,108,"20200408",36116,1469
"274","VA",3645,312,"20200408",30645,2000
"275","VI",45,2,"20200408",287,22
"276","VT",605,30,"20200408",7749,620
"277","WA",9506,463,"20200408",92897,463
"278","WI",2756,178,"20200408",32871,1781
"279","WV",462,50,"20200408",12545,486
"280","WY",221,5,"20200408",4064,59
"281","AK",213,22,"20200407",6913,30
"282","AL",2119,151,"20200407",14916,151
"283","AR",946,71,"20200407",13638,793
"284","AS",0,0,"20200407",3,0
"285","AZ",2575,119,"20200407",33375,841
"286","CA",15865,1529,"20200407",131229,13798
"287","CO",5172,222,"20200407",26875,1102
"288","CT",7781,875,"20200407",29036,2350
"289","DC",1211,114,"20200407",7823,370
"290","DE",928,255,"20200407",8556,1562
"291","FL",14747,1423,"20200407",138162,14888
"292","GA",8818,1504,"20200407",33713,2439
"293","GU",121,8,"20200407",650,32
"294","HI",387,16,"20200407",13542,16
"295","IA",1048,102,"20200407",12718,1119
"296","ID",1170,69,"20200407",11246,251
"297","IL",13549,1287,"20200407",68732,5790
"298","IN",5507,563,"20200407",28764,2573
"299","KS",900,55,"20200407",9514,430
"300","KY",1008,53,"20200407",19955,1188
"301","LA",16284,1417,"20200407",74655,5489
"302","MA",15202,1365,"20200407",81344,4915
"303","MD",4371,326,"20200407",31627,2010
"304","ME",519,20,"20200407",6607,20
"305","MI",19823,973,"20200407",65373,3403
"306","MN",1069,83,"20200407",29260,1132
"307","MO",3037,315,"20200407",31969,2134
"308","MP",8,0,"20200407",23,2
"309","MS",1915,177,"20200407",20547,177
"310","MT",319,20,"20200407",6985,195
"311","NC",3221,351,"20200407",41082,356
"312","ND",237,12,"20200407",7703,490
"313","NE",447,38,"20200407",7258,471
"314","NH",715,46,"20200407",8734,364
"315","NJ",44416,3326,"20200407",94974,5942
"316","NM",686,62,"20200407",21825,2689
"317","NV",2087,134,"20200407",18639,1010
"318","NY",138863,8174,"20200407",340058,19247
"319","OH",4782,332,"20200407",50838,2460
"320","OK",1472,145,"20200407",13293,10544
"321","OR",1181,49,"20200407",23007,1206
"322","PA",14559,1579,"20200407",91278,7424
"323","PR",573,60,"20200407",4539,594
"324","RI",1230,148,"20200407",10307,1826
"325","SC",2417,368,"20200407",23680,4704
"326","SD",320,32,"20200407",6268,248
"327","TN",4138,336,"20200407",52874,5524
"328","TX",8262,986,"20200407",88649,3292
"329","UT",1738,63,"20200407",34647,1253
"330","VA",3333,455,"20200407",28645,4124
"331","VI",43,0,"20200407",265,0
"332","VT",575,32,"20200407",7129,496
"333","WA",9043,364,"20200407",92434,364
"334","WI",2578,138,"20200407",31090,2076
"335","WV",412,67,"20200407",12059,2119
"336","WY",216,6,"20200407",4005,76
"337","AK",191,6,"20200406",6883,599
"338","AL",1968,172,"20200406",14765,1687
"339","AR",875,45,"20200406",12845,1603
"340","AS",0,0,"20200406",3,0
"341","AZ",2456,187,"20200406",32534,5124
"342","CA",14336,898,"20200406",117431,898
"343","CO",4950,385,"20200406",25773,1873
"344","CT",6906,1231,"20200406",26686,3416
"345","DC",1097,99,"20200406",7453,619
"346","DE",673,0,"20200406",6994,0
"347","FL",13324,1173,"20200406",123274,9870
"348","GA",7314,667,"20200406",31274,3442
"349","GU",113,1,"20200406",618,13
"350","HI",371,20,"20200406",13526,571
"351","IA",946,78,"20200406",11599,758
"352","ID",1101,24,"20200406",10995,734
"353","IL",12262,1006,"20200406",62942,3959
"354","IN",4944,533,"20200406",26191,3539
"355","KS",845,98,"20200406",9084,861
"356","KY",955,38,"20200406",18767,2104
"357","LA",14867,1857,"20200406",69166,8841
"358","MA",13837,1337,"20200406",76429,4492
"359","MD",4045,436,"20200406",29617,1280
"360","ME",499,29,"20200406",6587,29
"361","MI",18850,1283,"20200406",61970,4072
"362","MN",986,51,"20200406",28128,1351
"363","MO",2722,355,"20200406",29835,2586
"364","MP",8,0,"20200406",21,0
"365","MS",1738,100,"20200406",20370,13152
"366","MT",299,13,"20200406",6790,187
"367","NC",2870,285,"20200406",40726,681
"368","ND",225,18,"20200406",7213,426
"369","NE",409,46,"20200406",6787,866
"370","NH",669,48,"20200406",8370,338
"371","NJ",41090,3585,"20200406",89032,6866
"372","NM",624,81,"20200406",19136,2308
"373","NV",1953,117,"20200406",17629,798
"374","NY",130689,8658,"20200406",320811,18531
"375","OH",4450,407,"20200406",48378,4622
"376","OK",1327,75,"20200406",2749,96
"377","OR",1132,64,"20200406",21801,1177
"378","PA",12980,1470,"20200406",83854,6083
"379","PR",513,38,"20200406",3945,397
"380","RI",1082,160,"20200406",8481,1300
"381","SC",2049,0,"20200406",18976,0
"382","SD",288,48,"20200406",6020,427
"383","TN",3802,169,"20200406",47350,2050
"384","TX",7276,464,"20200406",85357,14419
"385","UT",1675,70,"20200406",33394,2502
"386","VA",2878,241,"20200406",24521,850
"387","VI",43,1,"20200406",265,17
"388","VT",543,31,"20200406",6633,51
"389","WA",8679,347,"20200406",92070,3411
"390","WI",2440,173,"20200406",29014,1578
"391","WV",345,21,"20200406",9940,1102
"392","WY",210,13,"20200406",3929,692
"393","AK",185,14,"20200405",6284,244
"394","AL",1796,216,"20200405",13078,2225
"395","AR",830,87,"20200405",11242,872
"396","AS",0,0,"20200405",3,0
"397","AZ",2269,250,"20200405",27410,250
"398","CA",13438,1412,"20200405",116533,2833
"399","CO",4565,392,"20200405",23900,1829
"400","CT",5675,399,"20200405",23270,1241
"401","DC",998,96,"20200405",6834,396
"402","DE",673,80,"20200405",6994,527
"403","FL",12151,1040,"20200405",113404,11337
"404","GA",6647,487,"20200405",27832,1538
"405","GU",112,19,"20200405",605,40
"406","HI",351,32,"20200405",12955,677
"407","IA",868,82,"20200405",10841,601
"408","ID",1077,64,"20200405",10261,1391
"409","IL",11256,899,"20200405",58983,5402
"410","IN",4411,458,"20200405",22652,2852
"411","KS",747,49,"20200405",8223,645
"412","KY",917,86,"20200405",16663,1091
"413","LA",13010,514,"20200405",60325,1827
"414","MA",12500,764,"20200405",71937,3137
"415","MD",3609,484,"20200405",28337,2727
"416","ME",470,14,"20200405",6558,14
"417","MI",17567,1172,"20200405",57898,4098
"418","MN",935,70,"20200405",26777,1354
"419","MO",2367,76,"20200405",27249,2344
"420","MP",8,0,"20200405",21,0
"421","MS",1638,183,"20200405",7218,630
"422","MT",286,21,"20200405",6603,426
"423","NC",2585,183,"20200405",40045,1272
"424","ND",207,21,"20200405",6787,580
"425","NE",363,42,"20200405",5921,542
"426","NH",621,81,"20200405",8032,527
"427","NJ",37505,3381,"20200405",82166,6810
"428","NM",543,48,"20200405",16828,1196
"429","NV",1836,94,"20200405",16831,668
"430","NY",122031,8327,"20200405",302280,18659
"431","OH",4043,304,"20200405",43756,1885
"432","OK",1252,93,"20200405",2653,132
"433","OR",1068,69,"20200405",20624,3090
"434","PA",11510,1493,"20200405",77771,7741
"435","PR",475,23,"20200405",3548,491
"436","RI",922,116,"20200405",7181,791
"437","SC",2049,132,"20200405",18976,662
"438","SD",240,28,"20200405",5593,369
"439","TN",3633,312,"20200405",45300,3909
"440","TX",6812,702,"20200405",70938,7187
"441","UT",1605,177,"20200405",30892,2849
"442","VA",2637,230,"20200405",23671,2119
"443","VI",42,2,"20200405",248,24
"444","VT",512,51,"20200405",6582,738
"445","WA",8332,398,"20200405",88659,5092
"446","WI",2267,155,"20200405",27436,1465
"447","WV",324,42,"20200405",8838,1152
"448","WY",197,10,"20200405",3237,105
"449","AK",171,14,"20200404",6040,24
"450","AL",1580,148,"20200404",10853,1234
"451","AR",743,39,"20200404",10370,671
"452","AS",0,0,"20200404",3,0
"453","AZ",2019,250,"20200404",27160,2487
